0,0
0.031479,0.0036993
0.062958,0.0083643
0.094437,0.021863
0.12592,0.036736
0.15739,0.0824
0.18887,0.13173
0.22035,0.075984
0.25183,0.11867
0.28331,0.19211
0.31479,0.22858
0.34627,0.34339
0.37775,0.3908
0.40923,0.28971
0.4407,0.33775
0.47218,0.38115
0.50366,0.50511
0.53514,0.45165
0.56662,0.56447
0.5981,0.57713
0.62958,0.52241
0.66106,0.68539
0.69254,0.80979
0.72401,0.87819
0.75549,0.76221
0.78697,1.0376
0.81845,0.88336
0.84993,1.0252
0.88141,0.91679
0.91289,1.1118
0.94437,1.3903
0.97585,1.0965
1.0073,1.2375
1.0388,1.3811
1.0703,1.2944
1.1018,1.2792
1.1332,1.5993
1.1647,1.4541
1.1962,1.7425
1.2277,1.7806
1.2592,1.2649
1.2906,1.6169
1.3221,1.7679
1.3536,1.763
1.3851,1.5391
1.4165,1.3747
1.448,1.2758
1.4795,1.3365
1.511,1.7383
1.5425,1.4004
1.5739,1.2365
1.6054,1.437
1.6369,1.26
1.6684,1.4188
1.6999,1.7163
1.7313,1.2808
1.7628,1.5691
1.7943,0.79956
1.8258,0.75829
1.8573,1.2536
1.8887,1.3742
1.9202,0.81319
1.9517,1.189
1.9832,0.5787
2.0146,0.59844
2.0461,1.1196
2.0776,0.55392
2.1091,0.13212
2.1406,0.88918
2.172,0.63011
2.2035,0.33554
2.235,-0.36048
2.2665,0.32358
2.298,0.19486
2.3294,-0.33755
2.3609,-0.73356
2.3924,-0.74745
2.4239,-0.69645
2.4554,-0.84517
2.4868,-1.0737
2.5183,-1.1559
2.5498,-1.321
2.5813,-1.6872
2.6127,-1.7133
2.6442,-1.8279
2.6757,-0.79249
2.7072,-1.3403
2.7387,-1.3413
2.7701,-1.2883
2.8016,-1.5017
2.8331,-1.7163
2.8646,-1.9144
2.8961,-2.3073
2.9275,-1.8259
2.959,-2.2833
2.9905,-2.5971
3.022,-2.9555
3.0535,-1.5535
3.0849,-2.1235
3.1164,-1.9015
3.1479,-2.4327
3.1794,-2.481
3.2108,-1.7594
3.2423,-2.1231
3.2738,-3.123
3.3053,-2.0834
3.3368,-1.5279
3.3682,-2.9148
3.3997,-2.0431
3.4312,-2.3852
3.4627,-2.4749
3.4942,-1.2742
3.5256,-2.0773
3.5571,-1.4853
3.5886,-2.1506
3.6201,-1.3157
3.6516,-2.2891
3.683,-1.9847
3.7145,-1.282
3.746,-1.8788
3.7775,-1.2429
3.8089,-0.90508
3.8404,-1.8774
3.8719,-1.2509
3.9034,-0.25527
3.9349,-0.51341
3.9663,-0.25351
3.9978,0.76459
4.0293,0.30391
4.0608,1.0419
4.0923,1.2295
4.1237,0.66804
4.1552,-0.1133
4.1867,0.54001
4.2182,2.0923
4.2496,1.1377
4.2811,1.2794
4.3126,2.6413
4.3441,2.152
4.3756,1.378
4.407,3.6147
4.4385,1.9744
4.47,2.5887
4.5015,2.4479
4.533,4.4083
4.5644,4.5351
4.5959,4.7848
4.6274,3.7675
4.6589,3.6082
4.6904,5.2728
4.7218,3.9101
4.7533,4.6176
4.7848,4.617
4.8163,4.8191
4.8477,4.5138
4.8792,4.8294
4.9107,6.6807
4.9422,5.3783
4.9737,4.5998
5.0051,7.1586
5.0366,5.1055
5.0681,5.6692
5.0996,5.1084
5.1311,6.5428
5.1625,6.0587
5.194,6.808
5.2255,7.0566
5.257,7.5856
5.2885,5.713
5.3199,5.3217
5.3514,7.9162
5.3829,7.7852
5.4144,6.2075
5.4458,7.225
5.4773,5.1815
5.5088,7.4531
5.5403,7.0118
5.5718,6.7947
5.6032,6.4403
5.6347,6.5272
5.6662,6.0716
5.6977,6.0214
5.7292,6.8247
5.7606,4.1911
5.7921,4.7843
5.8236,5.8296
5.8551,4.768
5.8866,5.4862
5.918,3.4789
5.9495,5.8201
5.981,4.2642
6.0125,4.5777
6.0439,3.6544
6.0754,3.6089
6.1069,1.7892
6.1384,4.145
6.1699,3.0828
6.2013,1.4187
6.2328,2.5613
6.2643,2.6504
6.2958,0.1487
6.3273,1.2325
6.3587,1.2368
6.3902,1.3274
6.4217,0.52285
6.4532,-1.2342
6.4847,-0.83205
6.5161,-0.46068
6.5476,-1.2974
